"sort_order","official_rank","player_name","team","total_points","matches","sets","attack_points","block_points","serve_points","season","competition","stat_table","source_url","accessed_date","notes","points_per_set","attack_points_per_set","block_points_per_set","serve_points_per_set","attack_share","block_share","serve_share","share_sum","archetype_1_prob","archetype_2_prob","archetype_3_prob","archetype_id","archetype_name","max_membership_probability"
31,31,"Onodera Taishi","SUNTORY SUNBIRDS OSAKA",257,37,128,180,58,19,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",2.0078125,1.40625,0.453125,0.1484375,0.700389105058366,0.22568093385214,0.0739299610894942,1,1.45234833114084e-16,1,7.26519601359755e-34,2,"Balanced Scorers",1
32,32,"Nishimoto Keigo","HIROSHIMA THUNDERS",249,37,126,166,65,18,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",1.97619047619048,1.31746031746032,0.515873015873016,0.142857142857143,0.666666666666667,0.261044176706827,0.072289156626506,1,9.19943159421932e-25,1,1.16267861578698e-32,2,"Balanced Scorers",1
33,33,"Taylor Averill","TORAY ARROWS SHIZUOKA",230,38,122,163,57,10,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",1.88524590163934,1.33606557377049,0.467213114754098,0.0819672131147541,0.708695652173913,0.247826086956522,0.0434782608695652,1,1.72487705006304e-18,1,1.269402328084e-40,2,"Balanced Scorers",1
34,33,"Watanabe Cole","NIPPON STEEL SAKAI BLAZERS",230,37,135,156,63,11,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",1.7037037037037,1.15555555555556,0.466666666666667,0.0814814814814815,0.678260869565217,0.273913043478261,0.0478260869565217,1,2.65728330925982e-25,1,6.7835503583484e-37,2,"Balanced Scorers",1
35,35,"Sato Shunichiro","WOLFDOGS NAGOYA",218,34,117,166,39,13,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",1.86324786324786,1.41880341880342,0.333333333333333,0.111111111111111,0.761467889908257,0.178899082568807,0.0596330275229358,1,3.37135820022276e-06,0.9999966286418,8.52510673228136e-38,2,"Balanced Scorers",0.9999966286418
36,36,"Miyoshi Keisuke","VOREAS HOKKAIDO",217,36,125,136,58,23,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",1.736,1.088,0.464,0.184,0.626728110599078,0.267281105990783,0.105990783410138,1,4.81988125788541e-31,1,2.31293080692607e-21,2,"Balanced Scorers",1
37,37,"Yanagida Masahiro","Tokyo Great Bears",191,38,111,165,9,17,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",1.72072072072072,1.48648648648649,0.0810810810810811,0.153153153153153,0.863874345549738,0.0471204188481675,0.0890052356020942,1,0.999999992158137,7.84186325399859e-09,2.74662458538196e-37,1,"Volume Attackers",0.999999992158137
38,38,"Yamada Koki","VC NAGANO TRIDENTS",187,36,121,144,28,15,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",1.54545454545455,1.1900826446281,0.231404958677686,0.12396694214876,0.770053475935829,0.149732620320856,0.0802139037433155,1,0.0036908255868917,0.996309174413108,1.99723988441322e-30,2,"Balanced Scorers",0.996309174413108
39,39,"Ri Haku","TORAY ARROWS SHIZUOKA",175,38,108,126,41,8,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",1.62037037037037,1.16666666666667,0.37962962962963,0.0740740740740741,0.72,0.234285714285714,0.0457142857142857,1,8.50099167801415e-16,0.999999999999999,1.8577618723344e-38,2,"Balanced Scorers",0.999999999999999
40,40,"Antoine Brizard","OSAKA BLUTEON",170,38,139,80,48,42,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",1.22302158273381,0.575539568345324,0.345323741007194,0.302158273381295,0.470588235294118,0.282352941176471,0.247058823529412,1,1.18819494901874e-78,1.15439153557551e-16,1,3,"Block-Impact Scorers",1
41,41,"Oniki Ren","SUNTORY SUNBIRDS OSAKA",166,38,123,115,44,7,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",1.34959349593496,0.934959349593496,0.357723577235772,0.0569105691056911,0.692771084337349,0.265060240963855,0.0421686746987952,1,1.93419879088821e-22,1,1.38840360477335e-36,2,"Balanced Scorers",1
42,42,"Murayama Go","Tokyo Great Bears",164,38,112,105,49,10,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",1.46428571428571,0.9375,0.4375,0.0892857142857143,0.640243902439024,0.298780487804878,0.0609756097560976,1,1.46011200076698e-33,1,3.27118580330369e-30,2,"Balanced Scorers",1
43,43,"Kawaguchi Shuto","JTEKT STINGS AICHI",150,38,111,109,37,4,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",1.35135135135135,0.981981981981982,0.333333333333333,0.036036036036036,0.726666666666667,0.246666666666667,0.0266666666666667,1,1.05611584423107e-16,1,7.18516164871739e-42,2,"Balanced Scorers",1
44,44,"Otake Issei","Tokyo Great Bears",148,38,120,95,40,13,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",1.23333333333333,0.791666666666667,0.333333333333333,0.108333333333333,0.641891891891892,0.27027027027027,0.0878378378378378,1,3.4845894708292e-29,1,8.28471408699966e-23,2,"Balanced Scorers",1
45,45,"Ito Riku","Tokyo Great Bears",140,38,120,94,30,16,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",1.16666666666667,0.783333333333333,0.25,0.133333333333333,0.671428571428571,0.214285714285714,0.114285714285714,1,9.7799994906292e-19,1,6.45431641132195e-18,2,"Balanced Scorers",1
46,46,"Daniel Martinez Campos","HIROSHIMA THUNDERS",86,38,105,69,9,8,"2024-25","SV.LEAGUE MEN","Past Season Stats - Total Points Scored","https://www.svleague.jp/en/sv_men/recordn/player_ranking_by_season?leg=%E9%80%9A%E7%AE%97&ranking_type=11&round=402&season=754","2026-04-01","Top-50 cutoff defined as rows 1-50 of the official Total Points Scored ranking table.",0.819047619047619,0.657142857142857,0.0857142857142857,0.0761904761904762,0.802325581395349,0.104651162790698,0.0930232558139535,1,0.999590908208468,0.000409091791532414,5.06008337659423e-27,1,"Volume Attackers",0.999590908208468
