"neighbourhood_cleansed","room_type","bathrooms","bedrooms","accommodates","minimum_nights","availability_365","number_of_reviews","review_scores_rating","review_scores_cleanliness","review_scores_location","host_is_superhost","instant_bookable","host_identity_verified","calculated_host_listings_count","dist_to_downtown","price"
"Hennepin","Entire home/apt",1.5,2,4,2,358,41,4.98,4.98,4.95,1,0,1,1,5.63494090128415,228
"Hennepin","Entire home/apt",1,1,2,1,0,28,4.93,4.96,4.86,1,1,1,1,3.17542448831362,85
"Wright","Entire home/apt",1,2,6,3,293,11,4.64,4.91,4.73,0,0,0,2,42.6935060958446,150
"Hennepin","Entire home/apt",2,4,11,3,142,30,4.93,4.8,5,1,0,1,2,4.87223066812074,350
"Ramsey","Private room",2,6,1,1,314,7,4.86,4.71,4.86,0,0,1,4,1.41278791560897,24
"Hennepin","Entire home/apt",2,4,10,2,314,11,4.09,4.45,4.91,0,0,0,1,2.41118054537037,92
"Ramsey","Private room",2,6,1,10,365,2,4.5,4.5,5,0,0,1,4,1.45074192347157,37
"Hennepin","Entire home/apt",5,5,10,2,308,12,5,4.92,5,1,0,1,2,3.24916199625454,460
"Ramsey","Private room",1,1,5,1,0,6,5,5,5,0,1,1,3,7.39250142931757,75
"Ramsey","Entire home/apt",1,1,2,2,309,3,5,5,5,0,1,0,1,3.03880320907216,53
"Ramsey","Private room",1,1,2,1,356,1,4,5,5,0,1,1,3,7.37999432846948,50
"Chisago","Entire home/apt",2,5,12,2,287,11,4.82,5,5,0,1,0,1,32.606138238894,175
"Pierce","Entire home/apt",1.5,2,4,2,8,14,4.93,5,4.93,1,0,0,1,46.824722466633,214
"Dakota","Entire home/apt",1,2,6,2,160,2,5,5,5,0,0,1,1,14.006599912036,275
"Hennepin","Private room",1.5,2,4,30,365,2,4,4.5,4.5,0,0,1,1,1.06536989600395,100
"Scott","Entire home/apt",2,2,4,1,193,20,4.75,4.6,5,1,1,1,1,24.9164486883474,250
"Hennepin","Entire home/apt",1.5,2,7,4,272,13,4.92,5,5,1,1,1,2,3.81880820890019,151
"Dakota","Entire home/apt",6,8,16,2,318,6,5,5,4.83,1,1,1,6,5.61577093959684,706
"Ramsey","Entire home/apt",2,3,6,2,317,11,4.82,4.64,4.91,1,1,0,1,3.44666181927866,150
"Hennepin","Entire home/apt",1,3,8,30,324,4,5,5,5,1,1,0,10,4.23208384740635,178
"Ramsey","Entire home/apt",1.5,3,7,2,334,30,4.97,5,4.93,1,0,1,3,2.59193567104397,164
"Hennepin","Entire home/apt",1,2,4,30,365,2,4.5,4.5,5,0,1,1,2,2.94702671556554,125
"Dakota","Entire home/apt",3.5,3,10,3,365,9,4.11,4.56,4.67,0,1,1,3,14.6555407423394,180
"Chisago","Entire home/apt",1.5,2,8,1,180,5,4.8,4.6,4.4,1,1,1,4,50.4380761140011,225
"Ramsey","Entire home/apt",1,1,2,3,357,2,5,5,5,0,1,1,9,0.0383174247889583,135
"Carver","Entire home/apt",4,4,12,2,243,33,5,5,5,1,0,1,1,19.2394304436018,352
"Carver","Entire home/apt",2,4,8,2,271,25,5,5,5,1,1,1,1,27.7565641258632,254
"Pierce","Entire home/apt",1,1,4,2,336,20,5,4.95,4.85,1,0,1,1,40.5261092080307,130
"Chisago","Entire home/apt",1,1,4,2,121,25,4.96,5,4.92,1,1,0,1,45.8662009804494,177
"Hennepin","Entire home/apt",1,2,4,2,187,33,4.73,4.91,4.67,1,0,1,2,1.89681484625977,136
"Ramsey","Entire home/apt",4,6,16,3,141,21,4.95,5,5,1,1,1,5,4.36065852446355,335
"Ramsey","Entire home/apt",2,3,8,1,163,54,4.96,4.96,4.96,1,0,1,2,8.16769199913502,256
"Isanti","Entire home/apt",1,1,2,1,123,16,5,5,4.94,1,1,1,2,40.9195672757212,64
"Hennepin","Private room",1,1,2,1,119,29,4.86,5,4.93,1,0,1,1,5.66973850865822,44
"Hennepin","Entire home/apt",1,2,5,30,110,1,5,5,5,0,0,1,8,5.40920088972326,66
"Hennepin","Entire home/apt",1.5,2,4,2,170,9,4.89,5,5,0,0,1,1,3.56069596763267,101
"Dakota","Private room",1,1,2,2,105,25,4.6,4.76,4.76,0,1,0,1,2.80651392397953,28
"Hennepin","Entire home/apt",1,1,3,30,363,2,5,5,5,1,0,1,1,2.96594798962171,99
"Hennepin","Entire home/apt",1,2,5,1,23,53,4.64,4.72,4.72,0,0,1,2,1.51001992084251,77
"Hennepin","Entire home/apt",1,2,4,30,200,1,5,5,5,1,0,1,4,19.3879332512744,72
"Wright","Entire home/apt",1,2,5,3,296,15,4.53,4.33,4.87,0,0,1,1,42.7311042648673,139
"Ramsey","Entire home/apt",2,3,6,1,323,28,4.96,4.79,5,1,1,1,2,0.760970594705379,430
"Hennepin","Private room",1,1,2,1,97,4,4.75,4.75,4.75,1,0,0,4,12.8387924203327,35
"Hennepin","Private room",1,1,1,1,346,6,5,4.83,5,1,0,0,4,12.7673085789507,40
"Ramsey","Private room",1,1,1,14,343,2,5,5,5,1,0,1,64,2.82431428317643,37
"Hennepin","Entire home/apt",1.5,4,8,2,358,5,4.6,4.4,5,0,1,1,29,6.7888429107737,245
"Hennepin","Entire home/apt",2.5,2,4,2,115,16,4.75,4.81,5,0,0,1,1,2.00567688809916,320
"Ramsey","Entire home/apt",1,3,7,1,258,38,4.87,4.95,4.97,1,0,0,2,4.0045387386207,119
"Hennepin","Entire home/apt",1,2,4,2,211,22,5,5,5,1,0,1,1,2.75091550482193,97
"Washington","Entire home/apt",2,4,9,1,207,29,4.86,4.9,4.9,1,1,1,6,15.262321176229,384
"Anoka","Entire home/apt",1,1,2,2,228,8,4.88,5,4.88,1,0,1,3,12.0984331520718,100
"Carver","Entire home/apt",3,4,9,3,153,6,5,4.83,5,0,0,1,1,18.2822429190207,414
"Hennepin","Entire home/apt",1,2,4,30,228,1,5,5,5,1,0,1,4,4.53815695698092,67
"Hennepin","Entire home/apt",2.5,7,16,1,272,2,4.5,4.5,4,1,1,1,4,2.86021549684214,406
"Hennepin","Entire home/apt",1,2,5,1,314,41,4.93,4.98,4.9,1,1,1,4,2.85917731237243,122
"Dakota","Private room",1,1,1,2,30,1,5,5,5,0,0,1,1,8.97330921532272,49
"Hennepin","Entire home/apt",2,3,10,3,80,7,4.71,5,4.57,1,0,1,64,5.74423656466818,195
"Hennepin","Entire home/apt",3,5,12,2,114,25,4.68,4.6,4.84,0,0,1,18,5.4091641937467,125
"Hennepin","Entire home/apt",1.5,4,8,1,174,26,4.69,4.65,4.42,0,0,0,2,2.69405849599203,128
"Carver","Entire home/apt",1,1,2,1,0,1,5,5,5,0,0,1,1,23.3277550145456,103
"Wright","Entire home/apt",1,2,6,3,295,27,4.89,4.7,4.96,1,0,1,1,26.4868995242001,250
"Anoka","Entire home/apt",3.5,5,12,2,274,4,5,5,5,0,1,0,1,14.9611802890011,450
"Hennepin","Entire home/apt",2,3,6,3,43,4,5,5,5,0,0,1,1,3.98700519901756,205
"Ramsey","Entire home/apt",1,2,4,1,330,32,4.97,4.94,4.97,1,0,1,1,2.81873145636275,107
"Ramsey","Entire home/apt",3,5,12,2,49,20,4.55,4.65,4.65,0,1,1,1,3.96254003972924,299
"Dakota","Entire home/apt",1,2,7,3,322,4,5,5,4.75,0,0,1,1,18.9196254490212,127
"Hennepin","Private room",1,1,2,1,151,41,4.98,4.93,4.88,1,0,1,1,12.5863925322162,50
"Hennepin","Entire home/apt",3,5,12,3,290,11,4.36,4,4.64,0,1,1,1,22.9121690816758,352
"Washington","Private room",1,1,2,1,334,10,4.6,4.7,4.8,0,0,1,3,9.82919504406413,70
"Washington","Private room",1,1,2,1,282,7,4.71,5,5,0,0,1,3,9.86145519177321,85
"Anoka","Private room",1,1,1,1,365,5,4,5,4.4,0,0,1,2,15.0063209242179,55
"Hennepin","Entire home/apt",1,1,4,1,279,4,4.5,5,4.25,0,1,1,1,3.3533610361789,140
"Sherburne","Entire home/apt",1,2,7,3,255,13,5,4.85,5,1,0,0,1,37.7818656579828,115
"Hennepin","Entire home/apt",1,3,10,1,287,23,4.43,4.48,4.48,0,0,1,19,3.12342445082928,75
"Hennepin","Entire home/apt",2,5,10,2,92,13,4.54,4.67,4.77,0,0,1,1,7.6703742077427,159
"Hennepin","Entire home/apt",2,4,8,2,138,39,4.9,4.74,5,0,0,1,18,8.30659531904891,144
"Sherburne","Entire home/apt",1,1,2,1,342,37,5,4.86,4.97,0,0,0,1,45.6197186033173,125
"Hennepin","Entire home/apt",2.5,4,6,2,0,7,5,4.86,4.86,0,0,1,1,19.0648435308501,200
"Hennepin","Entire home/apt",2,3,8,2,257,15,5,5,5,0,0,1,1,2.64050912495611,155
"Hennepin","Entire home/apt",2,4,11,2,97,34,4.85,4.88,4.82,0,0,1,18,6.633716542892,98
"Hennepin","Entire home/apt",1,2,4,2,204,43,5,4.98,4.95,1,0,0,1,4.91654403043635,156
"Hennepin","Entire home/apt",2.5,3,8,2,130,21,5,4.95,4.81,1,1,1,1,4.97078917274852,166
"Chisago","Entire home/apt",2,4,10,2,133,2,5,5,5,0,0,0,1,30.0922069522638,400
"Hennepin","Private room",1,1,1,1,246,14,4.86,4.86,4.93,0,0,1,1,5.78138975469792,128
"Ramsey","Private room",1,1,2,30,320,4,5,5,5,0,0,1,4,3.67884456837003,65
"Hennepin","Entire home/apt",1,1,4,5,357,10,4.1,4.7,4.8,0,0,1,7,2.03169423057578,90
"Hennepin","Entire home/apt",1,1,4,8,61,6,4.83,4.83,4.5,0,0,1,7,2.11278623747356,70
"Hennepin","Entire home/apt",1,3,12,1,359,26,4.96,5,4.96,1,0,1,6,3.66391097956956,125
"Hennepin","Entire home/apt",1.5,3,6,3,179,6,4.33,4,4.83,1,0,1,1,3.82180966450124,133
"Anoka","Entire home/apt",2,4,9,3,359,12,5,5,4.83,1,0,1,12,5.9698974796514,174
"Hennepin","Entire home/apt",1,3,6,3,118,8,4.75,4.63,5,1,0,1,2,5.36201589584608,119
"Hennepin","Private room",1,2,4,1,365,12,4.67,4.92,4.92,0,1,1,14,11.9646582976359,137
"Hennepin","Entire home/apt",1,1,3,1,48,16,4.38,4.94,4.75,0,0,1,1,2.81635233627128,76
"Ramsey","Entire home/apt",1,2,4,2,166,23,4.83,4.91,5,1,1,1,2,1.93134426543999,119
"Hennepin","Entire home/apt",1.5,2,4,1,24,13,4.92,4.77,5,1,0,1,1,7.22260394510095,80
"Dakota","Entire home/apt",3,5,12,30,365,1,5,5,5,0,1,1,3,10.2718261025336,400
"Pierce","Entire home/apt",2,2,6,1,28,4,4.25,4.75,3.75,0,0,1,15,19.9841550839353,320
"Ramsey","Private room",1,1,1,4,365,4,5,5,5,0,0,1,4,3.66747870005284,90
"Ramsey","Private room",1,1,2,30,320,4,5,5,5,0,0,1,4,3.65772040530325,65
"Hennepin","Entire home/apt",1,2,6,2,154,29,4.9,4.93,4.86,1,0,1,1,4.57857488764619,136
"Ramsey","Entire home/apt",1,2,5,2,316,27,4.96,5,4.93,1,0,1,1,4.12499596453965,111
"Hennepin","Entire home/apt",1,1,4,1,42,52,4.92,4.67,4.87,1,0,1,1,5.07471337278498,65
"Dakota","Entire home/apt",2,2,6,3,303,11,5,5,5,1,0,1,1,16.9079979127166,199
"Hennepin","Entire home/apt",1,3,7,3,365,5,4.8,5,5,0,0,0,1,5.39698928790611,144
"Washington","Entire home/apt",2,5,10,2,156,10,4.9,4.8,4.9,0,0,1,1,10.1303448441669,129
"Carver","Entire home/apt",1,3,7,2,229,5,5,5,5,0,1,1,1,27.6052508305871,211
"Hennepin","Entire home/apt",1,3,6,2,260,35,4.86,4.89,4.97,1,1,1,2,4.93873941937962,150
"Hennepin","Entire home/apt",2,4,11,1,235,30,4.93,4.9,5,1,0,1,3,8.7119719276713,212
"Anoka","Entire home/apt",2,3,8,4,299,10,5,5,5,1,0,1,7,4.30985763594878,299
"Anoka","Entire home/apt",2,3,8,2,21,20,5,4.95,4.8,1,0,0,1,5.25610979057649,175
"Ramsey","Private room",1,1,1,1,0,10,4.4,3.5,4.4,0,1,1,3,3.22105174917878,25
"Washington","Private room",1,1,2,1,334,3,5,5,5,0,0,1,3,9.88028128364601,95
"Carver","Entire home/apt",1,1,4,2,152,33,4.85,4.94,4.94,1,0,1,1,23.3632114560611,103
"Anoka","Entire home/apt",1,1,2,4,331,13,4.77,4.62,4.85,0,1,1,1,23.5307803257106,96
"Hennepin","Entire home/apt",1,2,5,1,126,22,4.82,5,4.68,0,0,1,1,2.1729929636753,97
"Hennepin","Entire home/apt",1.5,3,6,1,283,23,4.78,4.78,4.91,0,0,1,1,11.7521166294792,190
"Hennepin","Entire home/apt",1,3,6,1,127,22,5,5,4.95,1,1,1,1,4.25078756418161,91
"Chisago","Private room",1,1,2,1,266,14,4.93,4.86,5,1,0,1,1,30.7953129331261,75
"Hennepin","Entire home/apt",1,3,6,3,362,1,4,4,5,0,1,1,1,6.34860603654388,145
"Hennepin","Entire home/apt",1,1,3,2,181,9,4.67,4.89,4.56,1,0,1,1,4.1506267685432,90
"Ramsey","Entire home/apt",1,2,6,1,244,29,4.97,5,5,1,0,0,1,3.3352633892972,83
"Hennepin","Private room",1,1,2,2,324,16,5,5,5,1,0,1,1,5.44287024407648,75
"Washington","Private room",1,1,2,1,294,24,4.79,4.92,5,1,1,1,6,15.2577436228524,363
"Washington","Private room",1,1,2,1,9,7,4.14,4.29,4.71,1,1,1,6,15.203472739293,175
"Hennepin","Private room",1,2,2,14,172,1,5,5,5,0,0,0,1,8.83377414200761,30
"Ramsey","Entire home/apt",1,1,2,28,109,1,5,5,5,1,0,1,4,1.40144019144955,100
"Le Sueur","Entire home/apt",3,5,10,4,184,3,5,5,5,1,0,1,2,54.5557272753259,525
"Mille Lacs","Entire home/apt",3,4,8,2,322,8,5,5,5,1,0,0,7,91.0208756065234,233
"Hennepin","Entire home/apt",2,3,6,3,191,12,5,4.75,4.92,1,0,1,1,2.56303556649093,206
"Mille Lacs","Entire home/apt",2,3,8,2,330,3,5,5,4.67,0,1,0,1,90.8740617331372,161
"Ramsey","Entire home/apt",1,1,4,1,351,46,4.72,4.65,4.76,1,0,1,2,1.40149722129008,46
"Hennepin","Entire home/apt",2,4,10,2,0,17,4.88,4.94,5,1,0,1,5,2.20001797125898,165
"Wright","Entire home/apt",2,3,12,2,330,1,5,5,5,0,1,0,1,45.2745533178943,299
"Isanti","Entire home/apt",1,3,10,3,342,5,5,4.8,5,0,1,1,29,34.9217117616511,186
"Hennepin","Entire home/apt",1,2,6,1,151,30,4.97,5,4.73,1,0,0,1,1.3775169589468,109
"Le Sueur","Entire home/apt",2,4,12,3,240,6,5,5,5,0,0,1,1,57.4175789118428,600
"Washington","Entire home/apt",2,3,10,2,318,15,4.93,4.93,4.93,1,1,1,1,21.4283560543453,279
"Ramsey","Entire home/apt",1,1,4,1,84,60,4.95,4.95,4.92,0,0,1,3,1.21466509089123,81
"Hennepin","Entire home/apt",2.5,3,4,3,83,1,5,5,5,1,0,0,1,14.7440346675051,300
"Mille Lacs","Entire home/apt",1,2,5,3,294,3,4.67,4.33,4.67,0,1,1,2,89.6126884235475,245
"Ramsey","Entire home/apt",2,2,5,1,300,43,5,4.95,5,1,1,1,5,4.34792839938051,139
"Anoka","Entire home/apt",3.5,4,14,2,359,19,5,5,5,1,1,1,1,17.3021065588494,354
"Ramsey","Entire home/apt",2,3,6,30,326,1,5,5,5,1,0,1,3,5.46751128859692,120
"Dakota","Entire home/apt",1,1,4,1,247,10,4.5,4.5,4.9,0,0,1,1,4.90722207533694,63
"Hennepin","Private room",1.5,1,1,5,2,1,5,5,5,0,0,0,1,2.72070047459278,42
"Sherburne","Entire home/apt",2,3,12,2,281,31,4.81,4.74,4.77,1,0,0,1,34.1728950418612,308
"Hennepin","Entire home/apt",2.5,3,6,2,277,6,4.83,5,4.83,0,0,0,2,19.2086266718827,1150
"Ramsey","Entire home/apt",1,1,2,2,364,8,4,3.75,4.25,0,0,1,3,2.22208122993888,60
"Wright","Entire home/apt",1,3,6,2,217,23,5,4.96,5,1,0,1,1,32.8114192981354,120
"Wright","Entire home/apt",1,3,6,1,0,7,4.57,4.86,4.43,0,0,1,1,34.5011948883167,100
"Hennepin","Entire home/apt",1,2,4,2,279,4,4.75,4.25,5,0,0,1,1,4.93257034750173,124
"Dakota","Entire home/apt",3.5,4,10,1,291,31,4.97,4.71,5,1,0,1,1,16.6223233754674,206
"Sherburne","Entire home/apt",2,4,11,1,321,11,4.91,5,4.36,1,0,1,24,58.160779096669,249
"Ramsey","Entire home/apt",1,2,5,1,211,8,5,5,5,0,1,1,1,10.713522146217,120
"Washington","Entire home/apt",3.5,4,14,2,285,13,5,5,5,1,0,1,1,9.37923193954149,491
"Washington","Entire home/apt",1,1,2,30,234,1,5,5,5,0,0,1,1,16.0007882685268,82
"Mille Lacs","Entire home/apt",1,1,4,3,303,7,4.57,4.71,5,1,1,1,2,80.9429132160798,102
"Ramsey","Entire home/apt",1,2,4,1,183,11,4.91,5,4.45,1,0,1,2,2.73160061424108,108
"Ramsey","Entire home/apt",1,1,2,2,365,14,4.43,4.29,4,0,1,1,5,2.31301605679391,72
"Dakota","Private room",1,1,2,2,126,10,4.5,4.3,4.7,0,0,1,1,2.54526781250855,46
"Anoka","Entire home/apt",2,5,10,2,306,7,5,5,4.86,0,0,0,1,16.837019521423,310
"Hennepin","Entire home/apt",2.5,3,6,2,322,6,4.5,4.33,4.83,0,0,1,1,19.4843242308369,475
"Ramsey","Entire home/apt",2,4,8,2,64,3,5,5,5,0,0,1,3,3.70443666747853,263
"Hennepin","Entire home/apt",1,2,4,4,26,3,4.67,4.67,5,0,0,1,1,5.43662592352995,195
"Hennepin","Entire home/apt",1,2,4,1,278,57,5,5,4.95,1,1,1,1,3.54900583127856,128
"Hennepin","Entire home/apt",1,1,2,30,258,3,5,5,5,1,1,1,3,0.910826090789864,81
"Hennepin","Entire home/apt",1.5,2,4,1,342,3,3.67,3.33,5,0,1,1,1,21.9124204970355,350
"Ramsey","Private room",1,1,2,1,325,10,5,5,5,1,0,1,3,5.5311151627663,52
"Wright","Entire home/apt",1,3,8,2,309,3,5,5,5,0,0,0,1,52.8835430273286,136
"Mille Lacs","Entire home/apt",1,2,6,2,91,3,4.67,5,4.67,1,1,0,7,87.3113938170471,100
"Chisago","Entire home/apt",2.5,5,16,2,305,4,4.75,4.75,5,0,0,0,3,49.1930371026938,624
"Dakota","Entire home/apt",1,2,6,2,350,4,4.75,5,5,0,1,1,29,13.8869325733742,207
"Ramsey","Entire home/apt",1,2,5,1,158,19,4.63,4.74,4.21,0,0,1,2,1.3912564105518,89
"Mille Lacs","Entire home/apt",1,1,5,2,179,2,4,4,4.5,1,1,0,5,81.1496871610316,193
"Dakota","Private room",1,1,4,1,88,14,4.86,4.79,4.93,1,1,1,2,15.0069731693925,79
"Ramsey","Private room",1.5,1,1,10,365,1,5,4,5,1,0,1,64,1.42249786360711,37
"Hennepin","Entire home/apt",1,2,6,2,145,38,4.92,4.97,4.79,1,0,0,1,2.42468926596672,81
"Ramsey","Entire home/apt",2,4,8,2,21,16,5,4.94,5,0,0,1,1,2.620567614551,157
"St. Croix","Entire home/apt",2,2,6,2,69,5,4.8,4.8,5,0,0,1,1,28.9641603004193,120
"Hennepin","Entire home/apt",1,1,4,28,302,6,4.83,4.67,4.67,0,1,0,5,5.10496655251132,80
"Sibley","Entire home/apt",1,1,2,30,51,1,5,5,5,1,0,1,2,44.5661678977251,100
"Dakota","Entire home/apt",2.5,4,9,2,99,7,5,5,5,0,1,1,1,15.5996617739976,195
"Hennepin","Entire home/apt",1,1,2,30,257,2,5,5,5,1,0,1,4,4.33386796421682,129
"Hennepin","Entire home/apt",1,4,5,2,180,33,4.94,4.82,4.61,0,0,1,1,3.25464295099106,120
"Ramsey","Entire home/apt",1,2,6,1,82,44,5,4.98,5,1,0,1,1,1.52930791749691,136
"Ramsey","Entire home/apt",1.5,4,11,2,365,4,4.75,5,5,1,0,1,3,8.60043389168008,195
"Ramsey","Entire home/apt",2,6,10,2,209,17,5,5,5,1,0,1,1,4.77022759035101,220
"Hennepin","Entire home/apt",3,5,10,2,206,30,4.9,4.8,4.83,1,1,1,5,3.06273710296723,200
"Hennepin","Private room",1,1,1,2,361,5,5,4.8,4.8,1,0,1,3,3.4587462749067,38
"Ramsey","Private room",1,1,2,1,328,11,4.91,4.91,5,1,0,1,3,5.41269431619917,54
"Washington","Entire home/apt",2.5,3,6,2,54,11,5,5,4.91,0,0,1,1,9.1721600864646,160
"Hennepin","Entire home/apt",2.5,3,6,2,235,35,4.94,4.89,4.86,1,0,1,1,2.31730378259262,124
"St. Croix","Entire home/apt",1,1,2,1,365,1,1,5,5,0,0,1,8,17.1084278830152,178
"Ramsey","Private room",1,1,1,1,0,10,4.2,4.1,4.4,0,1,1,3,3.2280291014577,46
"Ramsey","Private room",1,1,2,1,21,24,4.96,5,4.67,1,0,1,1,3.83136393625438,40
"Washington","Private room",1,1,1,1,52,13,4.92,5,5,0,0,1,1,11.8214268770942,38
"Wright","Entire home/apt",1,2,6,2,339,10,4.8,4.7,4.9,0,1,1,29,49.8429981578194,224
"Hennepin","Entire home/apt",1,2,5,30,133,1,4,3,4,0,0,1,8,5.39875118238977,66
"Hennepin","Entire home/apt",2,2,4,2,336,17,5,5,4.94,1,0,1,1,16.6048140666824,255
"Hennepin","Entire home/apt",1.5,4,9,1,325,23,4.78,4.91,4.83,1,0,1,1,4.1880611800373,183
"Ramsey","Private room",1.5,1,1,1,356,4,5,5,4.75,1,0,1,64,2.64194502891908,37
"Ramsey","Private room",3,1,1,1,359,3,5,4.67,5,1,0,1,64,4.06718036686764,25
"Ramsey","Entire home/apt",1,3,6,1,145,16,4.5,4.81,3.94,0,0,1,1,4.63866002259594,110
"Carver","Entire home/apt",3.5,3,6,30,226,1,5,4,5,0,0,1,1,18.3316577643409,543
"Washington","Entire home/apt",2,3,8,1,132,27,5,5,4.93,1,0,1,1,10.8965798156614,139
"Ramsey","Entire home/apt",1,1,3,2,316,16,4.5,4.5,4.94,0,0,1,2,3.97551132347405,58
"Hennepin","Private room",1,1,2,2,110,6,5,5,5,0,0,0,1,3.69135312530716,67
"Carver","Entire home/apt",1.5,3,6,1,336,14,5,5,5,1,0,1,1,21.5976489113408,230
"Ramsey","Entire home/apt",2,6,16,1,136,61,4.21,4.28,3.8,0,0,1,1,1.00445581254816,226
"Ramsey","Entire home/apt",1,3,6,2,344,23,4.52,4.3,5,0,1,1,1,8.12916481954716,120
"Ramsey","Entire home/apt",1,3,6,1,81,22,4.64,4.77,4.45,1,1,1,2,1.7590437549551,103
"Wright","Entire home/apt",1,2,4,2,103,9,4.89,5,5,1,0,1,7,49.5978533323581,148
"Pierce","Entire home/apt",0.5,1,2,2,217,7,4.57,4.57,4.86,0,0,1,1,37.8528446998252,150
"Wright","Entire home/apt",1,1,2,2,164,8,4.88,4.88,5,1,0,1,7,49.5978533323581,148
"Hennepin","Entire home/apt",1,1,2,1,153,17,4.76,4.82,4.94,1,1,0,1,3.11829024088567,79
"Ramsey","Entire home/apt",3,5,10,30,356,8,5,4.88,4.88,1,1,1,4,8.52893796754345,270
"Le Sueur","Entire home/apt",1,1,4,2,51,10,4.8,4.7,5,1,0,1,1,54.8953508225247,198
"Hennepin","Entire home/apt",2.5,4,8,3,267,7,5,4.86,4.86,0,1,0,39,19.7429200388186,259
"Hennepin","Entire home/apt",3.5,5,10,2,8,2,5,5,4.5,1,0,1,29,11.2323733243235,1200
"Ramsey","Entire home/apt",2,4,10,2,0,3,4.33,4.67,3.67,0,0,1,3,5.98308280305843,312
"Hennepin","Private room",1,1,2,3,344,1,5,5,5,0,0,1,1,13.8988211493003,65
"Hennepin","Entire home/apt",1,1,4,1,146,37,4.95,4.92,4.95,1,1,1,1,4.03049891803355,68
"Ramsey","Entire home/apt",2,5,10,3,330,6,5,4.83,4.83,0,0,1,4,4.35555488617144,369
"Hennepin","Entire home/apt",1,1,4,1,351,5,4.8,4.8,5,1,0,1,91,1.44402199502476,135
"Hennepin","Entire home/apt",3,6,16,2,233,17,5,5,4.94,1,0,1,3,7.71529606136721,248
"Wright","Entire home/apt",1,1,3,2,159,7,4.86,5,5,1,0,1,7,49.598785027942,147
"Hennepin","Entire home/apt",1.5,3,6,1,172,10,4.6,4.8,4.7,0,0,1,3,7.45549184910521,181
"Anoka","Entire home/apt",1,1,3,3,179,11,5,4.91,5,1,0,1,1,4.62803817250429,81
"Hennepin","Entire home/apt",1,4,8,2,158,1,5,5,3,1,1,1,13,0.89437855353869,189
"Ramsey","Private room",1,1,2,1,160,16,5,4.88,4.94,1,0,0,6,4.06745314653302,43
"Hennepin","Entire home/apt",2,5,6,2,39,25,4.68,4.68,4.84,0,0,1,1,6.60287558332825,185
"Hennepin","Entire home/apt",1,1,2,1,346,1,5,5,5,0,1,1,1,14.2700637180375,98
"Dakota","Entire home/apt",2,3,6,2,327,4,5,5,5,1,0,1,1,2.32675732606805,225
"Hennepin","Private room",1,1,2,2,160,4,4.75,5,4,1,1,1,13,1.01886980362974,38
"Hennepin","Entire home/apt",1,1,2,3,163,13,4.85,4.92,4.85,1,0,0,18,1.12347756985593,55
"Hennepin","Entire home/apt",2.5,4,7,2,347,7,4.43,5,5,0,1,0,39,14.5843827384147,343
"Hennepin","Entire home/apt",2,4,6,2,348,16,4.5,4.31,4.5,0,1,1,3,0.833914209263026,261
"Hennepin","Entire home/apt",1,2,6,1,269,18,4.94,5,5,1,0,1,5,16.5435366274771,144
"Anoka","Private room",1.5,1,1,7,296,4,5,5,4.75,1,0,1,6,5.88074006692132,56
"Pierce","Entire home/apt",1,1,4,2,352,11,4.91,5,4.91,1,1,1,1,41.5029263061802,165
"Anoka","Private room",1.5,1,1,1,365,1,5,5,5,1,0,1,6,5.90673035553089,58
"Anoka","Private room",1.5,1,1,2,365,2,5,5,5,1,0,1,6,5.87173975048668,55
"Chisago","Entire home/apt",2.5,4,10,2,308,3,5,5,5,0,1,0,39,38.502950655327,357
"Hennepin","Entire home/apt",1,2,4,1,294,46,4.98,4.93,4.98,1,0,1,1,5.21208364835233,101
"St. Croix","Private room",1,1,2,1,365,1,5,5,5,0,1,0,2,16.7192065015247,100
"Hennepin","Entire home/apt",1,2,6,3,244,24,5,5,5,1,1,1,1,5.20546385899848,271
"Hennepin","Entire home/apt",3,5,10,2,30,24,4.63,4.5,4.92,0,0,1,1,14.8930309374398,164
"Anoka","Private room",1.5,1,1,1,365,2,5,5,5,1,1,1,6,5.82600911710401,68
"Ramsey","Entire home/apt",2,3,4,7,8,1,5,5,5,0,0,1,1,2.17345525955865,77
"Hennepin","Entire home/apt",2,4,10,1,364,8,5,5,5,0,1,0,1,8.96772151296744,180
"Hennepin","Entire home/apt",2,4,9,2,259,20,5,5,4.75,0,0,1,18,5.32304017812722,131
"Anoka","Entire home/apt",2,2,4,2,143,15,4.87,4.87,4.8,1,1,1,2,11.7378943466701,150
"Ramsey","Entire home/apt",1,1,2,2,267,1,1,1,5,0,0,1,1,5.86002784550782,125
"Scott","Entire home/apt",3.5,5,10,1,345,7,5,5,5,0,0,1,1,15.9701223146702,248
"Hennepin","Private room",1,1,1,1,20,28,4.89,4.86,4.89,1,1,1,4,7.08034023801305,33
"Hennepin","Entire home/apt",1,2,6,2,259,7,5,5,5,1,0,1,1,5.71429523639921,179
"Hennepin","Entire home/apt",1,2,4,2,349,24,4.75,4.79,4.75,1,1,0,1,1.37225887236787,122
"Mille Lacs","Entire home/apt",1,3,6,2,135,12,5,4.67,5,0,0,1,1,85.4878172627094,195
"St. Croix","Entire home/apt",3,4,12,2,292,7,5,5,4.86,0,0,0,1,22.1161784726309,857
"Hennepin","Entire home/apt",1,3,6,2,215,11,4.73,4.82,4.73,1,0,1,1,5.49872562859767,164
