"neighbourhood_cleansed","room_type","bathrooms","bedrooms","accommodates","minimum_nights","availability_365","number_of_reviews","review_scores_rating","review_scores_cleanliness","review_scores_location","host_is_superhost","instant_bookable","host_identity_verified","calculated_host_listings_count","dist_to_downtown","price"
"Ramsey","Private room",2.5,1,2,5,293,52,4.81,4.69,4.88,1,0,1,3,3.48138161640881,59
"Hennepin","Entire home/apt",2,3,5,1,365,38,5,5,4.95,1,0,1,2,4.58806372049575,425
"Carver","Entire home/apt",2.5,4,8,3,355,36,4.89,4.69,4.97,0,0,0,1,16.1352271111654,850
"Ramsey","Entire home/apt",1,1,4,2,180,44,4.75,4.66,4.55,1,0,0,2,1.3008501375455,99
"Hennepin","Private room",0.5,1,2,2,330,46,4.93,4.78,4.91,1,0,0,1,8.52123935766813,89
"Hennepin","Entire home/apt",1,2,3,3,85,84,4.83,4.86,4.94,1,0,1,2,3.98230228205468,260
"Anoka","Private room",1,1,2,2,81,47,4.79,4.85,4.81,1,0,1,2,10.6252586292177,55
"Hennepin","Private room",1,1,1,2,326,8,4.88,5,4.75,0,0,1,1,7.99513362636626,54
"Hennepin","Private room",1,1,1,1,81,26,4.96,5,4.77,0,0,1,2,13.9373573447804,37
"Hennepin","Private room",1.5,1,2,1,51,17,5,4.94,5,0,0,1,1,4.54280325037792,100
"Hennepin","Entire home/apt",2,2,4,2,135,52,5,4.9,5,0,1,0,1,19.8097040055405,195
"Hennepin","Entire home/apt",1,2,4,2,0,99,4.86,4.91,4.97,0,1,1,1,1.17605763428186,132
"Hennepin","Entire home/apt",2.5,5,9,2,81,133,4.97,4.94,4.92,1,0,1,1,2.12130593761791,474
"Ramsey","Entire home/apt",2.5,5,10,4,310,47,4.91,4.96,4.61,1,0,1,2,3.30177627710679,295
"Carver","Entire home/apt",1,1,2,1,336,297,4.86,4.97,4.92,1,0,0,1,20.9803823289315,70
"Hennepin","Private room",1.5,2,5,1,111,33,5,4.94,5,1,1,0,2,1.04507623043683,200
"Hennepin","Entire home/apt",1,1,6,30,0,17,4.87,4.8,5,0,0,1,1,1.49758606143725,1800
"Hennepin","Entire home/apt",1,2,5,1,60,598,4.87,4.94,4.93,1,0,1,1,6.73112940882787,80
"Dakota","Entire home/apt",3,4,8,2,218,222,4.94,4.82,4.96,1,0,1,1,11.5999237239289,250
"Hennepin","Entire home/apt",1,3,10,2,335,210,4.8,4.84,4.8,1,0,1,3,2.33243442681317,78
"Carver","Private room",1,1,2,3,0,1,5,5,4,0,0,0,1,20.8873411783048,140
"Washington","Entire home/apt",1.5,3,6,2,204,69,4.99,4.93,4.89,1,0,1,1,15.6148990444878,271
"Chisago","Private room",1,1,2,1,179,204,4.96,4.95,4.96,1,1,1,2,40.7060658403371,125
"Ramsey","Entire home/apt",1,2,4,4,111,184,4.99,5,4.98,1,0,1,1,3.39485737275507,137
"Hennepin","Entire home/apt",1,1,3,1,56,480,4.97,4.96,4.93,1,0,1,12,5.15152358529789,73
"Ramsey","Private room",2.5,1,2,4,118,26,5,4.85,4.92,1,1,1,3,3.49271631076075,49
"Hennepin","Entire home/apt",1,1,2,1,272,440,4.84,4.78,4.94,1,0,1,3,2.39611852715857,61
"Ramsey","Entire home/apt",1,2,4,4,180,5,4.4,4.6,5,0,0,1,2,0.716478735761906,200
"Hennepin","Entire home/apt",1,2,4,2,244,207,4.79,4.75,4.93,1,0,1,9,4.72241341390057,100
"Hennepin","Entire home/apt",1,1,4,7,311,75,4.99,4.93,4.95,0,0,1,1,2.60388305250818,95
"Hennepin","Entire home/apt",1,2,4,3,11,65,4.89,4.89,4.92,0,0,1,1,3.17066484609198,179
"Chisago","Entire home/apt",3,6,14,2,282,180,4.98,4.9,4.97,1,1,1,1,38.3328601380797,528
"Hennepin","Private room",1,1,2,30,365,93,4.9,4.81,4.98,0,1,1,1,1.98275183172728,45
"Le Sueur","Entire home/apt",2,4,8,2,324,3,5,5,5,0,0,1,1,55.9674185778561,400
"Hennepin","Private room",1,1,2,31,220,154,4.44,4.05,4.84,0,0,1,3,0.734456681112283,31
"Washington","Entire home/apt",1,1,4,1,303,234,4.91,4.92,4.97,1,1,0,1,15.8695016625047,227
"Ramsey","Entire home/apt",2,4,8,3,338,22,4.82,4.73,4.91,1,1,1,1,2.87036982861077,183
"Hennepin","Entire home/apt",1,2,4,30,365,44,4.86,5,4.93,0,0,1,1,1.71868534468602,125
